Item ID,Item Name,Item Number
-1,reg_time,2019-03-08 12:19:07
item-10,Dummy Core,2929
item-31,Basic Training Data,10797
item-32,Intermediate Training Data,9961
item-33,Advanced Training Data,6801
-1,kalina_level,30
-1,kalina_favor,153719
item-1,T-Doll Contract,4996
item-2,Equipment Contract,3258
item-3,Quick Production Contract,4115
item-4,Quick Repair Contract,14401
item-5,Daily Pause Permit,1
item-7,Oath Certificate,4
item-8,Quick Training Contract,1054
item-9,Enhancement Capsule,5704
item-11,Key Card,0
item-12,Points,0
item-13,Name Change Card,2
item-14,Original Sample,155155
item-15,Pure Sample,138377
item-16,Quick Analysis Contract,1443
item-17,Data Patch,0
item-41,Token,1242
item-42,Exchange Ticket,0
item-43,Black Card,34
item-44,Calibration Ticket,1935
item-45,Memory Fragment,7919
item-46,Special Combat Report,34858
item-47,Theater Material,6
item-50,Universal Parts,3662
item-51,New Type Fire-Control Component,74
item-53,Gachapon Ticket,135
item-57,Energy,3370
item-60,Component Processing Package,40818
item-100,Elite Griffin Combat Medal,10
item-101,Combat Ranking Medal,129
item-103,Challenger Medal,54
item-104,Elite Adventurer Medal,7
item-105,Sangvis-Griffin Coalition Medal,10
item-106,Chess Champion Medal,467
item-107,Wind-Calmer's Medal,1
item-108,Hell-Walker's Medal,10
item-109,8th Theater Pioneer Medal,1
item-110,8th Theater Conqueror Medal,1
item-111,Chaos Render Medal,12
item-112,Iron Storm,1
item-113,Longitudinal Dominator Medal,11
item-114,9th Theater Pioneer Medal,1
item-115,9th Theater Conqueror Medal,1
item-116,Destroyer of the End Medal,11
item-117,Eclipse Observer,2
item-118,Golden Mic Music Medal,1
item-119,Theater 10 Pioneer Medal,1
item-120,Theater 10 Conqueror Medal,1
item-121,Navigator of the Deep Lake,1
item-122,Snow Line in the Sea Medal,11
item-123,End of the Labyrinth Medal,10
item-128,Theater 11 Pioneer Medal,1
item-129,Theater 11 Conqueror Medal,1
item-130,Light-Bringer in Perpetual Occultation Medal,10
item-131,Mirror Image Recurser Medal,1
item-132,Time Redeemer Medal,1
item-133,Beyond the Mist Medal,11
item-134,Theater 12 Pioneer Medal,1
item-135,Theater 12 Conqueror Medal,1
item-136,Choice of Eternal Return Medal,1
item-138,Eye of the Witness Medal,1
item-139,Deadlock Breaker Medal,1
item-140,Theater 13 Pioneer Medal,1
item-141,Theater 13 Conqueror Medal,1
item-142,Isolation Forest Guardian Medal,1
item-143,Light Chaser Medal,2
item-144,Fire in the Ashes Medal,1
item-145,Gold in the Fire Medal,12
item-146,Marine Theater Pioneer Medal,1
item-147,Marine Theater Conqueror Medal,1
item-149,Roche Radius Medal,1
item-304,Central Data: M2,0
item-306,Central Data: QLZ-04,0
item-307,Central Data: Mk 153,0
item-308,Central Data: PP93,0
item-309,Central Data: Mk 47,22
item-310,Central Data: RPG-29,0
item-311,Central Data: L9A1,0
item-506,Battery,4325
item-507,Surplus EXP,2284
item-508,Friendship Points,8280
item-509,Fairy Command,200
item-510,Combat Sim Extra Energy,20
item-512,Supernova Kernel,540
item-513,Dark Star Kernel,63750
item-514,Petri Dish,39586
item-515,Basic Training Keycode,83717
item-516,Advanced Training Keycode,84349
item-517,Specified Equipment Contract,0
item-519,HOC General Data,0
item-520,Frag Grenade,7
item-521,Stun Grenade,37
item-522,Turret,21
item-523,G&K,1
item-524,Goliath Projectile,1
item-525,Quick Auto-Battle Contract,2442
item-528,Heart Rate Tool,100
item-530,Signal Tool,65
item-531,item-10000531,10
item-532,item-10000532,3
item-533,item-10000533,10
item-534,item-10000534,23
item-542,Operation Mistbuster+,7
item-601,Infinite Surprise Dye,362
item-602,Colorful Specified Dye,5
item-603,Potential Energy,0
item-604,Electronic Impulse,8
item-605,Aid Commission,13
item-606,Transfer Catalyst,905
item-1001,AAT-52 Icon,1
item-1002,G43 Icon,1
item-1003,IDW Icon,1
item-1004,L85A1 Icon,1
item-1005,M1911 Icon,1
item-1006,PPSh-41 Icon,1
item-1007,M38 Icon,1
item-1008,AK-47 Icon,1
item-1009,G17 Icon,1
item-1010,Makarov Icon,1
item-1011,Skorpion Icon,1
item-1012,Serdyukov Icon,1
item-1013,AR15 Icon,1
item-1014,M1918 Icon,1
item-1015,Gr MP5 Icon,1
item-1016,PTRD Icon,1
item-1017,UMP9 Icon,1
item-1018,Gr G11 Icon,1
item-1019,OTs-14 Icon,1
item-1020,Suomi Icon,1
item-1021,IOP,1
item-1022,AEGIS,1
item-1023,Jupiter,1
item-1024,SOPMODII,1
item-1025,Korvatunturi Pixie,1
item-1026,M4A1 Celebration Icon,1
item-1027,AR15 Celebration Icon,1
item-1028,M16 Celebration Icon,1
item-1029,SOPMODII Celebration Icon,1
item-1030,The 1st Anniversary Celebration ID Card Background,1
item-1031,Bren Icon,1
item-1032,FMG-9 Icon,1
item-1033,KS-23 Icon,1
item-1034,M9 Icon,1
item-1035,M1919A4 Icon,1
item-1036,Ingram Icon,1
item-1037,Micro Uzi Icon,1
item-1038,OTs-12 Icon,1
item-1039,PPS-43 Icon,1
item-1040,RMB-93 Icon,1
item-1041,STEN Mk II Icon,1
item-1042,SV-98 Icon,1
item-1043,Gr G36 Icon,1
item-1044,SAA Icon,1
item-1045,SPAS-12 Icon,1
item-1046,SVD Icon,1
item-1047,UMP45 Icon,1
item-1048,Am KSG Icon,1
item-1049,M99 Icon,1
item-1050,RO635 Icon,1
item-1051,Manticore,1
item-1052,Vespid&Ripper,1
item-1053,M4A1,1
item-1054,SPP-1,1
item-1055,Dreamer,1
item-1056,UMP40 Icon,1
item-1057,Background: Deep Dive,1
item-1058,FF FNP9 Icon,1
item-1059,Gr G3 Icon,1
item-1060,LWMMG Icon,1
item-1061,M3 Icon,1
item-1062,M1895 Icon,1
item-1063,Spectre M4 Icon,1
item-1064,SVT-38 Icon,1
item-1065,M1 Garand Icon,1
item-1066,M2HB Icon,1
item-1067,M21 Icon,1
item-1068,StG44 Icon,1
item-1069,Tokarev Icon,1
item-1070,AS Val Icon,1
item-1071,M60 Icon,1
item-1072,Gr Mk23 Icon,1
item-1073,Springfield Icon,1
item-1074,Stechkin Icon,1
item-1075,Kar98k Icon,1
item-1076,M950A Icon,1
item-1077,Thompson Icon,1
item-1078,Jaeger,1
item-1079,Dragoon,1
item-1080,Sangvis Ferri,1
item-1081,ST AR-15,1
item-1082,Destroyer,1
item-1083,Background: Monitoring Room,1
item-1085,Background: Graffiti Art,1
item-1086,Background: Skyline Terrace,1
item-1088,Kitty Paws,1
item-1089,Nocturnal Familiar,1
item-1109,Date in the Snow,1
item-1169,Battlefield Baker,1
item-1178,Candy Thief,1
item-1180,Am RFB Icon,1
item-1181,S.A.T.8 Icon,1
item-1182,USAS-12 Icon,1
item-1183,Vector Icon,1
item-1184,Spitfire Icon,1
item-1185,Kar98k,1
item-1186,M4A1,1
item-1187,M16A1,1
item-1188,Halloween,1
item-1189,Dinergate,1
item-1213,Base Background: A Corner on Christmas Eve,1
item-1221,Forest Reindeer,1
item-1222,Icon: Tactical Ferret,1
item-1223,Icon: Griffin Christmas Emblem,1
item-1224,Icon: S.F. Christmas Emblem,1
item-1225,Icon: Mysterious Santa Claus,1
item-1226,ID Card: A Christmas Meeting with Nature,1
item-1228,Icon: Official 4-Koma vol.1,1
item-1229,Icon: Official 4-Koma vol.2,1
item-1230,Icon: Official 4-Koma vol.3,1
item-1237,Icon: Reunion,1
item-1238,ID Card: Coercion,1
item-1247,East Lake Lotus,1
item-1248,Icon: Official 4-Koma vol.4,1
item-1257,Pierce Your Heart!,1
item-1260,ID Card: Easter Warning,1
item-1261,Icon: Easter Bunny,1
item-1262,M1911 Neural Upgrade Icon,1
item-1263,FF FN49 Neural Upgrade Icon,1
item-1264,M4A1 Neural Upgrade Icon,1
item-1265,ST AR-15 Neural Upgrade Icon,1
item-1266,IDW Neural Upgrade Icon,1
item-1267,Type64 Neural Upgrade Icon,1
item-1268,M1895 Neural Upgrade Icon,1
item-1269,Mosin-Nagant Neural Upgrade Icon,1
item-1276,Icon: Black Rider,1
item-1277,Icon: Wind Speaker,1
item-1278,Icon: Fallen Angel,1
item-1279,Icon: White Doll,1
item-1280,Icon: Cat Warrior,1
item-1281,Icon: El Clear,1
item-1282,Icon: El Fail,1
item-1283,Icon: Queen of Pocket City,2
item-1286,ID Card: Big Adventure in Pocket City,1
item-1287,Icon: Official 4-koma - VOL. 5,1
item-1298,White Night Star,1
item-1299,Icon: The Lost Avenger,1
item-1300,Icon: Determined Punisher,1
item-1301,Icon: Heartless Doll,1
item-1302,Icon: Smile of the Wolf,1
item-1303,True Core Mask Memento Icon,1
item-1304,ID Card: Pippa's Song,1
item-1305,Icon: Official 4-koma - VOL. 6,1
item-1313,Icon: Metal Zongzi,1
item-1314,Icon: Zongzi Cat,1
item-1315,ID Card: Type Zongzi,1
item-1318,SAA Neural Upgrade Icon,1
item-1319,SV-98 Neural Upgrade Icon,1
item-1320,Gr G3 Neural Upgrade Icon,1
item-1321,Bren Neural Upgrade Icon,1
item-1326,Contracted Today,1
item-1330,Icon: Kitsune Mask,1
item-1332,Icon: Reservoir Dog,1
item-1333,ID Card: Final Flight,1
item-1344,M4 SOPMOD II Neural Upgrade Icon,1
item-1345,UMP45 Neural Upgrade Icon,1
item-1348,Background: Midsummer Beach,1
item-1357,Icon: Trick or Dinergate,1
item-1358,ID Card: Halloween Fun,1
item-1359,Background: Survivor's Halloween,1
item-1366,STEN MkII Neural Upgrade Icon,1
item-1367,M14 Neural Upgrade Icon,1
item-1368,Gr G36 Neural Upgrade Icon,1
item-1369,LWMMG Neural Upgrade Icon,1
item-1375,Astral Bond,1
item-1385,Icon: Magic Candy Cane,1
item-1386,Icon: T-Reindeer,1
item-1387,ID Card: T-Reindeer,1
item-1388,Background: Winter is Coming,1
item-1389,Icon: Official 4-koma - VOL. 7,1
item-1403,Icon: Official 4-koma - VOL. 8,1
item-1405,ID Card: Sangvis Presence,1
item-1406,Icon: Fatal Freedom,1
item-1416,Icon: Brandy Chocolate Dog,1
item-1417,Icon: Express Postal Pigeon,1
item-1418,ID Card: Sanctuary Oath,1
item-1419,Icon: Official 4-koma - VOL. 9,1
item-1429,Mobile Operating Table,1
item-1430,Icon: Official 4-koma - VOL. 10,1
item-1436,Cloak and Cat Ears,1
item-1437,1st Anniversary Icon,1
item-1438,Background: Witching Hour,1
item-1439,Icon: Enlightened Explorer,1
item-1440,Icon: Shining Pursuer,1
item-1441,Icon: Seed of Hope,1
item-1442,Icon: Lost Guide,1
item-1443,Icon: Abyss of Despair,1
item-1445,Micro Uzi Neural Upgrade Icon,1
item-1446,AS Val Neural Upgrade Icon,1
item-1447,StG44 Neural Upgrade Icon,1
item-1450,Silent Rouge,1
item-1457,ID Card: Midsummer Tea Party,1
item-1459,Icon: Beer Wave,1
item-1460,Icon: Crimson Fist Grand Slam,1
item-1461,Icon: Kitty Friends Won't Leave,1
item-1462,Icon: A Toast To This Damn World,1
item-1463,Icon: Dear Becky,1
item-1464,Icon: Super-Shorty Squad Leader,1
item-1465,ID Card: Welcome to VA-11 Hall-A,1
item-1477,Super Piggy,1
item-1478,Icon: Summer Protector,1
item-1479,ID Card: Tacticool Watermelon Festival,1
item-1485,Crow Lifeguard,1
item-1490,True Core Mask Commemorative Icon: Shattered Connexion,1
item-1491,Icon: Lost Queen-of-the-Night,1
item-1492,ID: Train Station of the Beginning,1
item-1493,MP5 Neural Upgrade Icon,1
item-1494,416 Neural Upgrade Icon,1
item-1495,Type88 Neural Upgrade Icon,2
item-1496,UMP9 Neural Upgrade Icon,1
item-1502,Background: Phantasmal Sea of Flowers,1
item-1513,Icon: Eulogizer,1
item-1514,Icon: Possessed Night Face-off,1
item-1515,ID Card: When Madness Descends,1
item-1525,Icon: Gourmet of Doom,1
item-1540,Icon: "Merry X'mas WOOF!",1
item-1541,Icon: "I want hugs!",1
item-1542,ID Card: An Embrace through Time and Space,1
item-1550,Stechkin Neural Upgrade Icon,1
item-1553,NTW-20 Neural Upgrade Icon,1
item-1555,Background: The Cozy Snowy Yard,1
item-1563,ID Card: Rider in the Snow,1
item-1566,Icon: Split-Second,1
item-1567,ID: Impending Boom,1
item-1578,Scarecrow Icon,1
item-1579,Executioner Icon,1
item-1580,Hunter Icon,1
item-1581,Intruder Icon,1
item-1582,Destroyer Icon,1
item-1583,Architect Icon,1
item-1584,Brute Icon,1
item-1585,Dragoon Icon,1
item-1586,Aegis Icon,1
item-1587,Nemeum Icon,1
item-1588,Tarantula Icon,1
item-1589,Manticore Icon,1
item-1591,Ripper Icon,1
item-1592,Vespid Icon,1
item-1593,Guard Icon,1
item-1594,Jaeger Icon,1
item-1595,Striker Icon,1
item-1596,Dinergate Icon,1
item-1597,Scout Icon,1
item-1598,Prowler Icon,1
item-1608,Strawberry Cake & Garden Cosmos,1
item-1611,Icon: Tsavorite Girl,1
item-1612,Icon: The Eye of Storytelling,1
item-1613,ID: The Edge of Time,1
item-1614,Background: Twilight City,1
item-1615,ID Card: Black Canyon,1
item-1616,M950A Neural Upgrade Icon,1
item-1617,M500 Neural Upgrade Icon,1
item-1619,KSVK Neural Upgrade Icon,1
item-1626,Icon: 2nd Anniversary Icon,1
item-1636,ST AR-15 - Prisoner of the Dream,1
item-1641,A Girl's Hot Air Balloon Adventure,1
item-1643,Top Hat Drifting to the Flowers,1
item-1651,Icon: Sonata of Flame,1
item-1652,Icon: Concerto of Frost,1
item-1653,Icon: Rondo of Dreams,1
item-1654,ID: Evanescent Life,1
item-1655,ID: Glance from a Willowy Figure,1
item-1669,ID Card: BBQ by the Azure Sea,1
item-1670,Icon: Tropical Mojito,1
item-1671,Icon: Sunset of Day 51,1
item-1673,Icon: Soothing Vanilla,1
item-1674,Icon: Girls' Sorcerer,1
item-1675,Icon: Dessert Taster,1
item-1676,Icon: Sleeping Pumpkin Princess,1
item-1677,Icon: Honey Sunlight,1
item-1678,ID: Seed of All Wishes,1
item-1679,ID: Fruit of Doubt,1
item-1694,Background: Lakefront Sunset,1
item-1695,Background: Starry Night Courtyard,1
item-1696,Background: Sunlit Courtyard,1
item-1697,Icon: Concert Ticket,1
item-1698,ID: Gilded Name Card,1
item-1699,ID: Royal Flush,1
item-1700,Icon: King of Tricks,1
item-1701,ID: Polaris Light,1
item-1703,Icon: Constructive Pattern,1
item-1704,Icon: Tipped Scales,1
item-1705,ID: Rebels' Smoke Signal,1
item-1706,Background: Chloris' Floral Path,1
